"","month.index","quad","count"
"1",1,"NE",3577
"2",1,"NW",4889
"3",1,"SE",3532
"4",1,"SW",2384
"5",2,"NE",3046
"6",2,"NW",4269
"7",2,"SE",3744
"8",2,"SW",1935
"9",3,"NE",4047
"10",3,"NW",7908
"11",3,"SE",5983
"12",3,"SW",2966
"13",4,"NE",4087
"14",4,"NW",7505
"15",4,"SE",7279
"16",4,"SW",3663
"17",5,"NE",4041
"18",5,"NW",9554
"19",5,"SE",7927
"20",5,"SW",5547
"21",6,"NE",6118
"22",6,"NW",13141
"23",6,"SE",9782
"24",6,"SW",6357
"25",7,"NE",6863
"26",7,"NW",11892
"27",7,"SE",9072
"28",7,"SW",5117
"29",8,"NE",6553
"30",8,"NW",10866
"31",8,"SE",7424
"32",8,"SW",4664
"33",9,"NE",6044
"34",9,"NW",9735
"35",9,"SE",7522
"36",9,"SW",5412
"37",10,"NE",9250
"38",10,"NW",11524
"39",10,"SE",7460
"40",10,"SW",4351
"41",11,"NE",12028
"42",11,"NW",10447
"43",11,"SE",6511
"44",11,"SW",7259
"45",12,"NE",10133
"46",12,"NW",11456
"47",12,"SE",9450
"48",12,"SW",8657
"49",13,"NE",8684
"50",13,"NW",10144
"51",13,"SE",8586
"52",13,"SW",7362
"53",14,"NE",8935
"54",14,"NW",9865
"55",14,"SE",9450
"56",14,"SW",8854
"57",15,"NE",9668
"58",15,"NW",10664
"59",15,"SE",9926
"60",15,"SW",9006
"61",16,"NE",11380
"62",16,"NW",10493
"63",16,"SE",8975
"64",16,"SW",8956
"65",17,"NE",12065
"66",17,"NW",10819
"67",17,"SE",15570
"68",17,"SW",11346
"69",18,"NE",11664
"70",18,"NW",13355
"71",18,"SE",16171
"72",18,"SW",11987
"73",19,"NE",13456
"74",19,"NW",14026
"75",19,"SE",16907
"76",19,"SW",11655
"77",20,"NE",16046
"78",20,"NW",12245
"79",20,"SE",15963
"80",20,"SW",10084
"81",21,"NE",18065
"82",21,"NW",11981
"83",21,"SE",14102
"84",21,"SW",9524
"85",22,"NE",15024
"86",22,"NW",11393
"87",22,"SE",12838
"88",22,"SW",8998
"89",23,"NE",12490
"90",23,"NW",10955
"91",23,"SE",9365
"92",23,"SW",7513
"93",24,"NE",11999
"94",24,"NW",11420
"95",24,"SE",10273
"96",24,"SW",7821
"97",25,"NE",11274
"98",25,"NW",9534
"99",25,"SE",9065
"100",25,"SW",6781
"101",26,"NE",13503
"102",26,"NW",11280
"103",26,"SE",12423
"104",26,"SW",8141
"105",27,"NE",16931
"106",27,"NW",13816
"107",27,"SE",17631
"108",27,"SW",9555
"109",28,"NE",16415
"110",28,"NW",13365
"111",28,"SE",17908
"112",28,"SW",9297
"113",29,"NE",17070
"114",29,"NW",14709
"115",29,"SE",18276
"116",29,"SW",12356
"117",30,"NE",17984
"118",30,"NW",15299
"119",30,"SE",18182
"120",30,"SW",11622
"121",31,"NE",21604
"122",31,"NW",17821
"123",31,"SE",21462
"124",31,"SW",10931
"125",32,"NE",21995
"126",32,"NW",17950
"127",32,"SE",22242
"128",32,"SW",10882
"129",33,"NE",18830
"130",33,"NW",16656
"131",33,"SE",22580
"132",33,"SW",9887
"133",34,"NE",18373
"134",34,"NW",17465
"135",34,"SE",20898
"136",34,"SW",10802
"137",35,"NE",16206
"138",35,"NW",15994
"139",35,"SE",19375
"140",35,"SW",9362
"141",36,"NE",15487
"142",36,"NW",16087
"143",36,"SE",18425
"144",36,"SW",9204
"145",37,"NE",12992
"146",37,"NW",14731
"147",37,"SE",16296
"148",37,"SW",8288
"149",38,"NE",11420
"150",38,"NW",13464
"151",38,"SE",14823
"152",38,"SW",7411
"153",39,"NE",14976
"154",39,"NW",17583
"155",39,"SE",19250
"156",39,"SW",9502
"157",40,"NE",16281
"158",40,"NW",18526
"159",40,"SE",19971
"160",40,"SW",10352
"161",41,"NE",18495
"162",41,"NW",20126
"163",41,"SE",22493
"164",41,"SW",11654
"165",42,"NE",18693
"166",42,"NW",18884
"167",42,"SE",20744
"168",42,"SW",10465
"169",43,"NE",17977
"170",43,"NW",17268
"171",43,"SE",19212
"172",43,"SW",9989
"173",44,"NE",16314
"174",44,"NW",16273
"175",44,"SE",18383
"176",44,"SW",10730
"177",45,"NE",15426
"178",45,"NW",15561
"179",45,"SE",18767
"180",45,"SW",10670
"181",46,"NE",14870
"182",46,"NW",14669
"183",46,"SE",17275
"184",46,"SW",8963
"185",47,"NE",15242
"186",47,"NW",13198
"187",47,"SE",15477
"188",47,"SW",8818
"189",48,"NE",14870
"190",48,"NW",13654
"191",48,"SE",15011
"192",48,"SW",7778
"193",49,"NE",12557
"194",49,"NW",12249
"195",49,"SE",13005
"196",49,"SW",6504
"197",50,"NE",11138
"198",50,"NW",10815
"199",50,"SE",11918
"200",50,"SW",6230
"201",51,"NE",13955
"202",51,"NW",13399
"203",51,"SE",15928
"204",51,"SW",8363
"205",52,"NE",15349
"206",52,"NW",13822
"207",52,"SE",16383
"208",52,"SW",8738
"209",53,"NE",16654
"210",53,"NW",15982
"211",53,"SE",17940
"212",53,"SW",9451
"213",54,"NE",16912
"214",54,"NW",17091
"215",54,"SE",18789
"216",54,"SW",9050
"217",55,"NE",16505
"218",55,"NW",15565
"219",55,"SE",18183
"220",55,"SW",10075
"221",56,"NE",15826
"222",56,"NW",15260
"223",56,"SE",15048
"224",56,"SW",8834
"225",57,"NE",14982
"226",57,"NW",13428
"227",57,"SE",14401
"228",57,"SW",7622
"229",58,"NE",14990
"230",58,"NW",13858
"231",58,"SE",14220
"232",58,"SW",7424
"233",59,"NE",13133
"234",59,"NW",12910
"235",59,"SE",11524
"236",59,"SW",6561
"237",60,"NE",12949
"238",60,"NW",12418
"239",60,"SE",11959
"240",60,"SW",6385
"241",61,"NE",12298
"242",61,"NW",10734
"243",61,"SE",10588
"244",61,"SW",6165
"245",62,"NE",12333
"246",62,"NW",11646
"247",62,"SE",11695
"248",62,"SW",6761
"249",63,"NE",14185
"250",63,"NW",14209
"251",63,"SE",14346
"252",63,"SW",8406
"253",64,"NE",13645
"254",64,"NW",13896
"255",64,"SE",13542
"256",64,"SW",8086
"257",65,"NE",15454
"258",65,"NW",16645
"259",65,"SE",15673
"260",65,"SW",9355
"261",66,"NE",16894
"262",66,"NW",18502
"263",66,"SE",17632
"264",66,"SW",9889
"265",67,"NE",16648
"266",67,"NW",16865
"267",67,"SE",16884
"268",67,"SW",9086
"269",68,"NE",17453
"270",68,"NW",17158
"271",68,"SE",15613
"272",68,"SW",9567
"273",69,"NE",16085
"274",69,"NW",15662
"275",69,"SE",14161
"276",69,"SW",8482
"277",70,"NE",14853
"278",70,"NW",13364
"279",70,"SE",13721
"280",70,"SW",8786
"281",71,"NE",12410
"282",71,"NW",11804
"283",71,"SE",11837
"284",71,"SW",7427
"285",72,"NE",12667
"286",72,"NW",11816
"287",72,"SE",10412
"288",72,"SW",6759
"289",73,"NE",11681
"290",73,"NW",10684
"291",73,"SE",10596
"292",73,"SW",6662
"293",74,"NE",11159
"294",74,"NW",10873
"295",74,"SE",11426
"296",74,"SW",6436
"297",75,"NE",13943
"298",75,"NW",12670
"299",75,"SE",13736
"300",75,"SW",7738
"301",76,"NE",14351
"302",76,"NW",12892
"303",76,"SE",13731
"304",76,"SW",8124
"305",77,"NE",15442
"306",77,"NW",15123
"307",77,"SE",15196
"308",77,"SW",8870
"309",78,"NE",17437
"310",78,"NW",14244
"311",78,"SE",15477
"312",78,"SW",9187
"313",79,"NE",17847
"314",79,"NW",14486
"315",79,"SE",16005
"316",79,"SW",9001
"317",80,"NE",17513
"318",80,"NW",14594
"319",80,"SE",16328
"320",80,"SW",8920
"321",81,"NE",14833
"322",81,"NW",13479
"323",81,"SE",14652
"324",81,"SW",8622
"325",82,"NE",13309
"326",82,"NW",12186
"327",82,"SE",13405
"328",82,"SW",8353
"329",83,"NE",11260
"330",83,"NW",9885
"331",83,"SE",11574
"332",83,"SW",6731
"333",84,"NE",9395
"334",84,"NW",9470
"335",84,"SE",9914
"336",84,"SW",5495
"337",85,"NE",8294
"338",85,"NW",7402
"339",85,"SE",6690
"340",85,"SW",4236
"341",86,"NE",7521
"342",86,"NW",8118
"343",86,"SE",6560
"344",86,"SW",3871
"345",87,"NE",306
"346",87,"NW",297
"347",87,"SE",246
"348",87,"SW",124
