"","ADDRESS","LATITUDE","LONGITUDE"
"1","0 N ASHLAND AVE",41.881454,-87.666802
"2","0 N HAMLIN BOULEVARD",41.838419,-87.617465
"3","0 S CENTRAL AVENUE”,41.880303,-87.7670474
"4","1 E 63RD ST",41.779949105,-87.625289553
"5","1 E 75TH STREET",41.758074111,-87.624671658
"6","1 E 79TH STREET",41.750852096,-87.624463832
"7","1 N HALSTED STREET",41.881815632,-87.647214717
"8","1 S HALSTED STREET",41.881717056,-87.647210539
"9","1 S WESTERN AVE",41.881118279,-87.686283339
"10","100 N CICERO AVENUE",41.88187971,-87.745489247
"11","100 W CHICAGO AVENUE",41.896744347,-87.631321248
"12","1000 W FOSTER AVE",41.976505116,-87.655031882
"13","1000 W HOLLYWOOD AVE",41.985649799,-87.655335807
"14","10300 S HALSTED STREE”,41.706916,-87.652833
"15","11100 S HALSTED ST",41.692263123,-87.642522688
"16","11100 S VINCENNES AVE",41.692160999,-87.663472469
"17","11500 S HALSTED STREE”,41.685081,-87.642151
"18","11900 S HALSTED",41.677720829,-87.642051845
"19","1200 N ASHLAND AVENUE",41.903377468,-87.667643142
"20","1200 N HALSTED",41.903698308,-87.648245351
"21","1200 N PULASKI ROAD",41.902713902,-87.726451457
"22","1200 S CANAL STREET",41.867175125,-87.639375813
"23","1200 S KOSTNER",41.865938839,-87.735108549
"24","1200 S PULASKI ROAD",41.866079337,-87.725305995
"25","1200 W DEVON AVE",41.998298228,-87.660611661
"26","1200 W FOSTER AVE",41.97643192,-87.659931806
"27","1300 W IRVING PARK ROAD",41.954487567,-87.662293496
"28","140 W KINZIE",41.889297219,-87.632601648
"29","150 N SACRAMENTO BOUL",41.884012178,-87.701436479
"30","1600 E 79TH ST",41.751611523,-87.585592284
"31","1600 E 83RD STREET",41.744315875,-87.585316041
"32","1600 E 95TH STREET",41.722449457,-87.585003569
"33","1600 N HALSTED STREET",41.910940644,-87.648419043
"34","1600 N HOMAN AVENUE”,41.910053,-87.711879
