ADDRESS,LATITUDE,LONGITUDE
0 N ASHLAND AVE,41.881454,-87.666802
0 N HAMLIN BOULEVARD,41.880789,-87.720752
0 S CENTRAL AVENUE,41.880303,-87.7670474
1 E 63RD ST,41.77994911,-87.62528955
1 E 75TH STREET,41.75807411,-87.62467166
1 E 79TH STREET,41.7508521,-87.62446383
1 N HALSTED STREET,41.88181563,-87.64721472
1 S HALSTED STREET,41.88171706,-87.64721054
1 S WESTERN AVE,41.88111828,-87.68628334
100 N CICERO AVENUE,41.88187971,-87.74548925
100 W CHICAGO AVENUE,41.89674435,-87.63132125
1000 W FOSTER AVE,41.97650512,-87.65503188
1000 W HOLLYWOOD AVE,41.9856498,-87.65533581
10300 S HALSTED STREE,41.706916,-87.65283
11100 S HALSTED ST,41.69226312,-87.64252269
11100 S VINCENNES AVE,41.692161,-87.66347247
11500 S HALSTED STREE,41.685081,-87.642151
11900 S HALSTED,41.67772083,-87.64205185
1200 N ASHLAND AVENUE,41.90337747,-87.66764314
1200 N HALSTED,41.90369831,-87.64824535
1200 N PULASKI ROAD,41.9027139,-87.72645146
1200 S CANAL STREET,41.86717513,-87.63937581
1200 S KOSTNER,41.86593884,-87.73510855
1200 S PULASKI ROAD,41.86607934,-87.725306
1200 W DEVON AVE,41.99829823,-87.66061166
1200 W FOSTER AVE,41.97643192,-87.65993181
1300 W IRVING PARK ROAD,41.95448757,-87.6622935
140 W KINZIE,41.88929722,-87.63260165
150 N SACRAMENTO BOUL,41.88401218,-87.70143648
1600 E 79TH ST,41.75161152,-87.58559228
1600 E 83RD STREET,41.74431588,-87.58531604
1600 E 95TH STREET,41.72244946,-87.58500357
1600 N HALSTED STREET,41.91094064,-87.64841904
1600 N HOMAN AVENUE,41.910053,-87.711879
1600 N KOSTNER,41.9097883,-87.73640467
1600 N PULASKI AVENUE,41.90997501,-87.72648052
1600 N WESTERN AVE,41.91040902,-87.68737027
1600 W 63RD STREET,41.77957044,-87.66429388
1600 W 71ST,41.76501831,-87.66385923
1600 W 87TH ST,41.73589862,-87.66312878
1600 W 95TH STREET,41.72132441,-87.66272415
1600 W CORTLAND ST,41.91623534,-87.66783777
1600 W DIVERSEY PARKWA,41.9324052,87.6706585
1600 W DIVISION STREET,41.90345532,-87.66755899
1600 W GARFIELD BLVD,41.79413322,-87.66464526
1600 W IRVING PARK ROA,41.954291,-87.669047
1600 W LAWRENCE AVENUE,41.96898746,-87.66951631
1600 W MADISON,41.88156417,-87.66692946
1900 N ASHLAND AVE,41.91614728,-87.66794735
200 W GARFIELD BLVD,41.79467039,-87.63054748
2000 E 79TH STREET,41.75171656,-87.57592307
2000 E 95TH ST,41.72257947,-87.57529252
2000 N CICERO AVENUE,41.91697333,-87.74626022
2000 N KEDZIE AVENUE,41.91744617,-87.70711607
2000 N WESTERN AVENUE,41.91760382,-87.68755788
2000 W DIVERSEY PARKWAY,41.93239416,-87.67817303
2000 W DIVISION,41.90329879,-87.67738325
2000 W FULLERTON AVE,41.92513494,-87.67796355
2200 S PULASKI,41.85152144,-87.72490479
2200 S WESTERN AVENUE,41.85198384,-87.6857857
2348 S KOSTNER AVENUE,41.84806885,-87.73454746
2400 N ASHLAND AVENUE,41.92519389,-87.66829436
2400 N CENTRAL AVENUE,41.92406892,-87.76614121
2400 N CICERO AVE,41.92428359,-87.74645019
2400 N CLARK ST,41.92559762,-87.64065097
2400 N DAMEN AVE,41.92503801,-87.67804719
2400 N HALSTED STREET,41.92554032,-87.64891216
2400 N LARAMIE AVENUE,41.92415187,-87.75629466
2400 N PULASKI RD,41.92457257,-87.72691911
2400 N WESTERN AVENUE,41.92493594,-87.68779026
2400 W 51ST ST,41.80125749,-87.68428112
2400 W 55TH STREET,41.79398135,-87.68414174
2400 W 63RD ST,41.77933184,-87.68367576
2400 W 71ST STREET,41.76481039,-87.68330877
2400 W 79TH ST,41.75022017,-87.68281769
2400 W ADDISON,41.94683999,-87.68832019
2400 W CERMAK ROAD,41.85214131,-87.68575264
2400 W CHICAGO AVE,41.89585104,-87.68696894
2400 W DIVERSEY AVENUE,41.93228718,-87.68795009
2400 W FOSTER AVE,41.97600019,-87.68927508
2400 W LAWRENCE AVENUE,41.96872435,-87.68896873
2400 W MADISON,41.8812705,-87.68653594
2400 W MARQUETTE ROAD,41.77208621,-87.68350886
2400 W MONTROSE AVENUE,41.96142173,-87.68874698
2400 W NORTH AVE,41.91042986,-87.68728422
2400 W PERSHING ROAD,41.82309676,-87.68501895
2400 W PETERSON,41.99060901,-87.68973548
2400 W VAN BUREN STREE,41.87619198,-87.68633785
2416 S BLUE ISLAND AV,41.84845863,-87.67627127
2416 S DAMEN AVENUE,41.8480806,-87.67588134
2600 S KEDZIE AVENUE,41.84442483,-87.70518545
2800 N ASHLAND AVENUE,41.93244536,-87.66854285
2800 N CALIFORNIA AVE,41.93212072,-87.6977653
2800 N CENTRAL AVENUE,41.93136555,-87.76639653
2800 N CICERO AVENUE,41.93157561,-87.7467433
2800 N DAMEN AVENUE,41.93232949,-87.67828272
2800 N KIMBALL AVENUE,41.931984,-87.712251
2800 N PULASKI ROAD,41.93183103,-87.72712687
2800 N WESTERN AVENUE,41.93221699,-87.68803328
2800 W 31ST,41.837416,-87.6972577
2800 W DEVON AVENUE,41.99766952,-87.69970642
2800 W DIVERSEY,41.9322054,-87.69767924
2800 W IRVING PARK ROA,41.953973,-87.69824
2800 W PETERSON AVENUE,41.99055208,-87.6994644
30 W 87TH STREET,41.73637604,-87.62562131
300 N HAMLIN AVENUE,41.88528264,-87.72106954
3000 W CHICAGO AVENUE,41.89570453,-87.70221852
3100 S ARCHER AVENUE,41.83773268,-87.66589445
3100 S ASHLAND AVENUE,41.83762234,-87.66588718
3100 S CALIFORNIA,41.83727705,-87.69517225
3100 S DR MARTIN L KING,41.838419,-87.617465
3100 S KEDZIE AVENUE,41.83713267,-87.70496712
3200 N CENTRAL AVENUE,41.93861746,-87.7666483
3200 N HARLEM AVE,41.93808447,-87.80689675
3200 N KEDZIE AVE,41.93935173,-87.70784659
3200 N KEDZIE AVENUE,41.93935173,-87.70784659
3200 N LAKESHORE DRIV,41.94090916,-87.63936916
3200 N PULASKI RD,41.93913815,-87.72733371
3200 W 31ST STREET,41.8373395,-87.70495056
3200 W 47TH ST,41.80822625,-87.70403167
3200 W 55TH STREET,41.7936228,-87.70361814
3200 W 63RD ST,41.77908151,-87.70326037
3200 W 71ST STREET,41.76449743,-87.70287702
3200 W 79TH ST,41.749952,-87.70244848
3200 W ARMITAGE AVENUE,41.91751102,-87.70705364
3200 W BELMONT,41.93944056,-87.70771852
3200 W IRVING PARK ROAD,41.95402905,-87.70807749
3216 W ADDISON ST,41.94673476,-87.70860977
3400 W DIVERSEY AVENUE,41.93208775,-87.71238583
3400 W NORTH AVE,41.91016285,-87.71195387
3500 S WESTERN,41.83018726,-87.68517793
3600 N AUSTIN AVENUE,41.94581322,-87.77665216
3600 N CENTRAL AVENUE,41.94591949,-87.76690459
3600 N CICERO AVENUE,41.94616352,-87.74721517
3600 N ELSTON AVE,41.94654917,-87.70895263
3600 N HARLEM AVENUE,41.94533841,-87.80715477
3600 N WESTERN AVENUE,41.94681992,-87.68840666
3700 W IRVING PARK ROA,41.95373,-87.719084
3800 W MADISON STREET,41.88089727,-87.72088123
3900 S WESTERN BLVD,41.82296363,-87.68438479
400 E 31ST STREET,41.83853402,-87.61704611
400 N CENTRAL AVENUE,41.88780462,-87.7652685
400 N LASALLE,41.88922537,-87.63267412
400 S WESTERN AVENUE,41.87606478,-87.68641563
400 W BELMONT AVE,41.94024119,-87.63963911
4000 N ASHLAND AVENUE,41.95437933,-87.66919912
4000 N AUSTIN AVENUE,41.95314406,-87.77692528
4000 N CENTRAL AVENUE,41.95327275,-87.76715015
4000 N CLARK STREET,41.95443244,-87.66244626
4000 N ELSTON AVENUE,41.95368727,-87.71929788
4000 N PULASKI ROAD,41.95373705,-87.72776661
4000 W 55TH ST,41.79331333,-87.72322304
4000 W 63RD ST,41.77876739,-87.7228232
4000 W 79TH STREET,41.74967936,-87.72197835
4000 W ARMITAGE AVENUE,41.91727507,-87.72662275
4000 W BELMONT AVE,41.93920375,-87.72731013
4000 W CERMAK,41.85165437,-87.72488298
4000 W CHICAGO AVENUE,41.89547675,-87.72614436
